,0
0,가렌
1,갈리오
2,갱플랭크
3,그라가스
4,그레이브즈
5,나르
6,나미
7,나서스
8,노틸러스
9,녹턴
10,누누와 윌럼프
11,니달리
12,니코
13,다리우스
14,다이애나
15,드레이븐
16,라이즈
17,라칸
18,람머스
19,럭스
20,럼블
21,레넥톤
22,레오나
23,렉사이
24,렐
25,렝가
26,루시안
27,룰루
28,르블랑
29,리 신
30,리븐
31,리산드라
32,릴리아
33,마스터 이
34,마오카이
35,말자하
36,말파이트
37,모데카이저
38,모르가나
39,문도 박사
40,미스 포츈
41,바드
42,바루스
43,바이
44,베이가
45,베인
46,벨코즈
47,볼리베어
48,브라움
49,브랜드
50,블라디미르
51,블리츠크랭크
52,비에고
53,빅토르
54,뽀삐
55,사미라
56,사이온
57,사일러스
58,샤코
59,세나
60,세라핀
61,세주아니
62,세트
63,소나
64,소라카
65,쉔
66,쉬바나
67,스웨인
68,스카너
69,시비르
70,신 짜오
71,신드라
72,신지드
73,쓰레쉬
74,아리
75,아무무
76,아우렐리온 솔
77,아이번
78,아지르
79,아칼리
80,아트록스
81,아펠리오스
82,알리스타
83,애니
84,애니비아
85,애쉬
86,야스오
87,에코
88,엘리스
89,오공
90,오른
91,오리아나
92,올라프
93,요네
94,요릭
95,우디르
96,우르곳
97,워윅
98,유미
99,이렐리아
100,이블린
101,이즈리얼
102,일라오이
103,자르반 4세
104,자야
105,자이라
106,자크
107,잔나
108,잭스
109,제드
110,제라스
111,제이스
112,조이
113,직스
114,진
115,질리언
116,징크스
117,초가스
118,카르마
119,카밀
120,카사딘
121,카서스
122,카시오페아
123,카이사
124,카직스
125,카타리나
126,칼리스타
127,케넨
128,케이틀린
129,케인
130,케일
131,코그모
132,코르키
133,퀸
134,클레드
135,키아나
136,킨드레드
137,타릭
138,탈론
139,탈리야
140,탐 켄치
141,트런들
142,트리스타나
143,트린다미어
144,트위스티드 페이트
145,트위치
146,티모
147,파이크
148,판테온
149,피들스틱
150,피오라
151,피즈
152,하이머딩거
153,헤카림
