,name,lobby_image_right,lobby_image_left,small_img,ban_img,voice
Garen,가렌,http://39.118.174.168:8000/champ_image/right/가렌.png,http://39.118.174.168:8000/champ_image/left/가렌.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Garen.png,http://39.118.174.168:8000/champ_image/long_image_noColor/가렌.jpg,Garen.mp3
Galio,갈리오,http://39.118.174.168:8000/champ_image/right/갈리오.png,http://39.118.174.168:8000/champ_image/left/갈리오.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Galio.png,http://39.118.174.168:8000/champ_image/long_image_noColor/갈리오.jpg,Galio.mp3
Gangplank,갱플랭크,http://39.118.174.168:8000/champ_image/right/갱플랭크.png,http://39.118.174.168:8000/champ_image/left/갱플랭크.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Gangplank.png,http://39.118.174.168:8000/champ_image/long_image_noColor/갱플랭크.jpg,Gangplank.mp3
Gragas,그라가스,http://39.118.174.168:8000/champ_image/right/그라가스.png,http://39.118.174.168:8000/champ_image/left/그라가스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Gragas.png,http://39.118.174.168:8000/champ_image/long_image_noColor/그라가스.jpg,Gragas.mp3
Graves,그레이브즈,http://39.118.174.168:8000/champ_image/right/그레이브즈.png,http://39.118.174.168:8000/champ_image/left/그레이브즈.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Graves.png,http://39.118.174.168:8000/champ_image/long_image_noColor/그레이브즈.jpg,Graves.mp3
Gnar,나르,http://39.118.174.168:8000/champ_image/right/나르.png,http://39.118.174.168:8000/champ_image/left/나르.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Gnar.png,http://39.118.174.168:8000/champ_image/long_image_noColor/나르.jpg,Gnar.mp3
Nami,나미,http://39.118.174.168:8000/champ_image/right/나미.png,http://39.118.174.168:8000/champ_image/left/나미.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Nami.png,http://39.118.174.168:8000/champ_image/long_image_noColor/나미.jpg,Nami.mp3
Nasus,나서스,http://39.118.174.168:8000/champ_image/right/나서스.png,http://39.118.174.168:8000/champ_image/left/나서스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Nasus.png,http://39.118.174.168:8000/champ_image/long_image_noColor/나서스.jpg,Nasus.mp3
Nautilus,노틸러스,http://39.118.174.168:8000/champ_image/right/노틸러스.png,http://39.118.174.168:8000/champ_image/left/노틸러스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Nautilus.png,http://39.118.174.168:8000/champ_image/long_image_noColor/노틸러스.jpg,Nautilus.mp3
Nocturne,녹턴,http://39.118.174.168:8000/champ_image/right/녹턴.png,http://39.118.174.168:8000/champ_image/left/녹턴.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Nocturne.png,http://39.118.174.168:8000/champ_image/long_image_noColor/녹턴.jpg,Nocturne.mp3
Nunu,누누와 윌럼프,http://39.118.174.168:8000/champ_image/right/누누와 윌럼프.png,http://39.118.174.168:8000/champ_image/left/누누와 윌럼프.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Nunu.png,http://39.118.174.168:8000/champ_image/long_image_noColor/누누와 윌럼프.jpg,Nunu.mp3
Nidalee,니달리,http://39.118.174.168:8000/champ_image/right/니달리.png,http://39.118.174.168:8000/champ_image/left/니달리.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Nidalee.png,http://39.118.174.168:8000/champ_image/long_image_noColor/니달리.jpg,Nidalee.mp3
